transaction_id,user_id,product_id,quantity,price,transaction_date
69,5,22,4,112.11,2022-07-04
70,3,49,7,244.68,2022-06-24
71,43,1,10,363.67,2022-06-29
72,15,50,10,488.42,2022-03-22
73,50,34,6,264.7,2023-09-17
74,19,59,8,145.08,2023-01-27
75,6,37,8,54.76,2023-09-27
76,15,55,8,101.09,2023-12-01
77,7,90,4,117.6,2022-09-04
78,25,94,9,93.82,2023-05-25
79,18,72,8,12.0,2023-08-21
80,30,85,3,269.4,2022-05-27
81,41,92,2,140.78,2022-08-26
82,24,63,5,487.28,2023-04-18
83,11,20,9,278.91,2023-10-16
84,24,25,10,350.22,2022-09-18
85,23,38,6,67.51,2023-04-16
86,14,28,2,434.89,2022-09-19
87,43,8,4,247.98,2023-11-14
88,18,75,5,437.0,2022-01-10
89,45,95,4,289.16,2023-04-22
90,44,70,4,237.35,2022-10-22
91,42,8,3,223.03,2023-11-25
92,5,96,1,96.26,2023-07-14
93,39,41,1,30.43,2022-06-11
94,41,8,4,470.83,2022-03-17
95,11,7,8,241.48,2023-03-29
96,35,75,10,411.95,2022-12-20
97,47,62,2,203.35,2023-08-25
98,16,65,8,41.67,2022-11-03
99,11,68,7,316.58,2023-10-17
100,30,21,10,31.54,2023-03-11
101,25,8,4,78.85,2023-12-08
102,18,66,7,283.61,2022-09-14
103,41,11,8,155.4,2023-04-13
104,45,24,7,496.99,2022-11-06
105,36,9,4,63.63,2022-07-23
106,15,77,3,383.4,2023-01-29
107,44,9,1,305.13,2023-05-10
108,21,87,2,396.42,2022-04-20
109,50,31,7,116.72,2022-08-31
110,50,52,4,263.67,2023-01-26
111,4,16,3,228.0,2023-08-09
112,15,73,9,224.15,2023-01-03
113,3,32,8,430.78,2023-08-12
114,21,75,1,495.07,2022-10-30
115,26,77,9,156.16,2023-12-18
116,18,6,4,312.41,2022-10-30
117,5,80,2,306.77,2022-01-23
118,14,11,8,371.34,2023-11-06
119,37,54,3,474.06,2023-02-10
120,46,85,8,107.86,2022-10-09
121,21,75,9,109.46,2022-01-09
122,14,73,9,331.91,2023-08-03
123,42,67,10,82.74,2023-12-04
124,32,41,6,91.04,2022-02-20
125,26,34,8,42.16,2023-09-13
126,42,27,10,6.32,2023-05-24
127,30,86,9,228.0,2022-10-21
128,10,92,7,298.94,2022-08-24
129,17,41,9,149.17,2023-09-14
130,9,31,8,119.58,2022-12-27
131,16,34,3,354.94,2022-08-13
132,48,51,8,352.98,2023-10-14
133,36,17,8,229.75,2022-07-14
134,35,86,5,345.26,2023-09-28
135,17,83,4,462.34,2022-09-14
136,48,39,5,394.97,2023-11-26
137,38,59,9,314.4,2023-11-07
138,28,41,8,332.29,2023-11-29
139,38,97,4,467.17,2022-05-21
140,26,10,5,215.44,2023-10-06
141,24,2,8,274.56,2022-04-10
142,15,59,2,325.58,2023-10-05
143,9,80,5,454.66,2023-10-24
144,33,73,4,414.18,2022-02-10
145,32,13,5,40.35,2022-11-13
146,6,10,6,87.13,2023-03-28
147,49,69,6,157.27,2022-02-04
148,4,28,9,375.73,2023-08-17
149,8,65,2,286.76,2023-01-09
150,10,34,3,147.86,2022-05-15
151,41,17,3,66.56,2022-04-03
152,11,45,4,345.9,2022-10-30
153,44,9,7,351.37,2022-12-01
154,28,32,3,471.62,2023-03-02
155,39,48,4,252.73,2022-06-29
156,5,37,2,249.43,2022-07-25
157,25,21,7,44.82,2022-05-16
158,25,57,7,24.73,2023-07-07
159,39,70,6,218.85,2023-01-10
160,30,91,9,164.55,2023-06-28
161,34,39,8,128.93,2023-05-29
162,17,79,7,50.21,2022-10-07
163,36,84,1,481.15,2022-06-18
164,1,68,4,418.8,2022-09-21
165,44,2,7,289.72,2023-05-09
166,47,86,7,475.64,2022-10-30
167,8,71,10,499.79,2022-12-13
168,44,39,1,337.78,2022-04-28
169,35,85,10,138.41,2023-04-25
170,49,14,7,24.91,2022-03-19
171,18,18,8,379.35,2022-05-25
172,50,34,1,237.9,2022-08-20
173,42,15,6,327.5,2023-11-24
174,22,14,5,458.46,2023-11-22
175,8,96,7,94.84,2023-02-11
176,19,71,7,294.74,2023-07-25
177,28,20,9,319.22,2023-01-10
178,11,35,9,248.4,2022-04-03
179,30,37,10,50.16,2023-02-09
180,1,78,4,177.24,2022-01-15
181,47,27,8,169.99,2022-09-28
182,47,92,4,336.72,2023-07-04
183,17,44,5,429.58,2022-05-07
184,33,27,7,168.25,2023-04-11
185,49,88,8,348.37,2023-01-13
186,12,82,1,147.67,2023-11-20
187,33,34,7,472.87,2023-11-20
188,7,65,6,407.72,2022-09-26
189,41,63,7,277.3,2023-08-22
190,20,33,3,230.14,2023-01-26
191,41,7,8,160.69,2023-10-16
192,33,12,3,165.02,2023-01-16
193,39,82,10,485.24,2022-04-21
194,13,55,9,205.07,2023-11-23
195,10,36,1,259.73,2022-08-28
196,24,6,7,494.12,2023-04-28
197,49,1,10,330.54,2022-01-26
198,11,43,10,273.58,2023-09-27
199,35,99,1,209.56,2023-07-29
200,50,17,2,97.85,2022-12-02
201,34,82,7,184.08,2023-09-17
202,1,34,3,379.44,2022-08-15
203,39,21,8,314.58,2023-10-26
204,21,95,3,381.2,2022-03-06
205,32,57,1,105.76,2023-10-13
206,2,71,5,276.86,2023-04-21
207,8,91,7,464.2,2023-12-19
208,24,55,6,221.87,2022-11-06
209,20,72,4,350.63,2023-10-27
210,16,2,8,65.11,2023-02-23
211,4,15,6,486.71,2022-04-30
212,16,10,6,306.39,2022-05-24
213,37,89,7,123.45,2022-02-16
214,6,20,5,83.4,2022-02-08
215,6,70,7,277.67,2022-11-08
216,47,5,5,278.36,2023-05-20
217,32,48,2,51.14,2022-04-29
218,5,75,8,496.17,2022-04-10
219,49,71,1,456.9,2022-08-29
220,35,19,9,233.42,2023-07-05
221,50,56,1,63.15,2022-05-19
222,9,17,6,416.91,2023-02-02
223,9,6,4,251.7,2023-04-10
224,43,40,2,359.72,2023-01-15
225,31,47,1,256.89,2023-11-18
226,36,6,1,140.35,2023-12-15
227,11,46,4,418.19,2023-07-08
228,17,27,4,490.22,2023-03-06
229,34,88,1,125.65,2023-08-25
230,39,32,10,277.88,2022-06-08
231,28,86,3,194.88,2023-03-01
232,14,14,4,461.32,2023-11-02
233,35,46,3,256.58,2022-04-12
234,49,100,8,440.27,2023-05-17
235,47,72,2,432.69,2023-09-23
236,45,53,10,141.74,2023-02-22
237,13,80,4,396.05,2022-10-14
238,46,96,8,210.4,2022-02-03
239,20,20,5,467.45,2023-12-08
240,26,31,6,256.33,2023-01-15
241,43,21,3,411.17,2022-08-11
242,42,23,10,145.01,2023-03-31
243,24,53,10,152.79,2023-04-01
244,29,4,2,295.53,2022-08-30
245,34,23,3,499.46,2023-01-07
246,29,95,5,247.37,2022-04-12
247,8,43,2,78.55,2023-12-04
248,16,53,10,271.6,2023-01-12
249,15,86,1,175.84,2023-07-12
250,5,95,5,278.2,2023-10-23
251,22,32,10,274.0,2023-01-03
252,2,35,7,230.4,2022-03-04
253,38,21,7,164.28,2023-02-12
254,36,90,4,98.38,2022-10-10
255,15,14,2,350.26,2022-07-14
256,38,49,10,288.04,2022-05-06
257,15,5,4,120.61,2023-04-11
258,1,61,2,388.89,2022-04-04
259,5,29,5,26.61,2023-11-10
260,46,26,10,373.63,2022-08-06
261,41,59,2,354.09,2023-10-20
262,4,45,10,406.65,2023-10-17
263,15,40,1,196.11,2023-09-04
